Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,5,95,6779.367536821688,6504,1908,4596,6679.367536821688,29.335793357933582
2,5,94,6775.393414874575,6502,1904,4598,6675.393414874575,29.283297446939404
3,2,28,6715.76885710933,10308,2879,7429,6615.76885710933,27.92976329064804
4,1,16,6669.684187371729,6788,1701,5087,6569.684187371729,25.058927519151442
5,1,15,6596.665133189488,6875,1728,5147,6496.665133189488,25.134545454545453
6,5,100,6544.864789975657,6454,1889,4565,6444.864789975657,29.268670591881
7,4,28,6492.2921785522,8785,2474,6311,6392.2921785522,28.161639157655095
8,5,99,6436.708010075215,6458,1888,4570,6336.708010075215,29.235057293279652
9,4,61,6351.600885234662,8170,2398,5772,6251.600885234662,29.351285189718485
10,3,28,6302.192107111677,9807,2783,7024,6202.192107111677,28.377689405526663
11,3,61,6292.894934414717,9225,2704,6521,6192.894934414717,29.31165311653117
12,1,67,6268.6546417802265,5133,1431,3702,6168.6546417802265,27.878433664523673
13,5,98,6225.401857116068,6470,1888,4582,6125.401857116068,29.18083462132921
14,5,96,6198.911770811926,6503,1882,4621,6098.911770811926,28.940489005074582
15,1,88,6176.889636334377,4907,1370,3537,6076.889636334377,27.91929896066843
16,5,93,6167.866903205072,6516,1901,4615,6067.866903205072,29.174340085942298
17,16,1,6156.476000000252,6529,1416,5113,6056.476000000252,21.687854189002913
18,4,63,6146.294111097152,8150,2415,5735,6046.294111097152,29.631901840490798
19,3,82,6136.068109751339,8896,2637,6259,6036.068109751339,29.642535971223023
20,4,59,6133.901288125269,8189,2395,5794,6033.901288125269,29.24655025033582
