Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,97,23,5441.206739310885,14746,3117,11629,0.0,5341.206739310885,21.137935711379356,SURVIVED (PROFIT)
2,96,23,5023.6291306752055,14759,3131,11628,0.0,4923.6291306752055,21.21417440205976,SURVIVED (PROFIT)
3,99,19,4976.260526490435,16727,3698,13029,0.0,4876.260526490435,22.10796915167095,SURVIVED (PROFIT)
4,100,19,4958.354052848647,16726,3695,13031,0.0,4858.354052848647,22.091354776993903,SURVIVED (PROFIT)
5,95,23,4855.8593045501575,14732,3112,11620,0.0,4755.8593045501575,21.1240836274776,SURVIVED (PROFIT)
6,93,23,4755.002087188815,14712,3102,11610,0.0,4655.002087188815,21.08482871125612,SURVIVED (PROFIT)
7,49,21,4733.831809515839,16060,3409,12651,0.0,4633.831809515839,21.2266500622665,SURVIVED (PROFIT)
8,94,23,4624.318956781864,14741,3115,11626,0.0,4524.318956781864,21.13153788752459,SURVIVED (PROFIT)
9,92,23,4436.77017412131,14769,3120,11649,0.0,4336.77017412131,21.125330083282552,SURVIVED (PROFIT)
10,17,21,4241.020429021098,17201,3698,13503,0.0,4141.020429021098,21.498750072670195,SURVIVED (PROFIT)
11,59,37,4154.461540456566,10184,1763,8421,0.0,4054.4615404565657,17.311468970934797,SURVIVED (PROFIT)
12,91,23,4024.182913234742,14755,3107,11648,0.0,3924.182913234742,21.057268722466958,SURVIVED (PROFIT)
13,63,37,3901.0349459105378,10290,1823,8467,0.0,3801.0349459105378,17.716229348882408,SURVIVED (PROFIT)
14,58,37,3858.4832972153968,10179,1759,8420,0.0,3758.4832972153968,17.280675901365555,SURVIVED (PROFIT)
15,41,37,3810.129054260289,8963,1418,7545,0.0,3710.129054260289,15.820595782662055,SURVIVED (PROFIT)
16,36,36,3789.5620000002837,7580,1173,6407,0.0,3689.5620000002837,15.474934036939313,SURVIVED (PROFIT)
17,36,37,3788.693756630457,8090,1263,6827,0.0,3688.693756630457,15.611866501854141,SURVIVED (PROFIT)
18,37,37,3782.2370000002725,7460,1159,6301,0.0,3682.2370000002725,15.536193029490617,SURVIVED (PROFIT)
19,40,37,3781.973702816523,8632,1352,7280,0.0,3681.973702816523,15.66265060240964,SURVIVED (PROFIT)
20,64,37,3767.0165134410586,10246,1819,8427,0.0,3667.0165134410586,17.75326956861214,SURVIVED (PROFIT)
