Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,1,83,6294.5956144079855,9786,2592,7194,6194.5956144079855,26.486817903126912
2,1,82,5926.1487072905265,9819,2598,7221,5826.1487072905265,26.458906202260923
3,8,83,5592.03796389168,8736,2201,6535,5492.03796389168,25.19459706959707
4,1,81,5511.437345635437,9866,2627,7239,5411.437345635437,26.626799108047837
5,65,17,5334.790470660318,6247,1324,4923,5234.790470660318,21.194173203137506
6,16,17,5318.908529408093,5535,1110,4425,5218.908529408093,20.05420054200542
7,64,17,5235.752705974546,6260,1318,4942,5135.752705974546,21.054313099041533
8,12,16,5197.280187489285,8034,1725,6309,5097.280187489285,21.47124719940254
9,8,82,5172.941939067881,8765,2215,6550,5072.941939067881,25.27096406160867
10,52,77,5130.975324648167,2928,494,2434,5030.975324648167,16.87158469945355
11,1,56,5117.743535720198,10124,2688,7436,5017.743535720198,26.55077044646385
12,12,19,5039.806473681889,8101,1796,6305,4939.806473681889,22.170102456486855
13,66,17,5027.711000033494,6218,1305,4913,4927.711000033494,20.987455773560633
14,12,17,5007.21711765592,8030,1745,6285,4907.21711765592,21.73100871731009
15,14,12,4942.724666655238,7816,1619,6197,4842.724666655238,20.713920163766634
16,12,14,4934.443285717805,7754,1623,6131,4834.443285717805,20.931132318803197
17,67,25,4915.616000070631,4703,907,3796,4815.616000070631,19.28556240697427
18,67,17,4915.583117684159,6207,1302,4905,4815.583117684159,20.97631706138231
19,14,13,4887.711692307732,6997,1453,5544,4787.711692307732,20.76604258968129
20,17,17,4865.007000000198,4995,990,4005,4765.007000000198,19.81981981981982
