MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,83,6294.5956144079855,9786,2592,7194,6194.5956144079855,26.486817903126912
1,82,5926.1487072905265,9819,2598,7221,5826.1487072905265,26.458906202260923
8,83,5592.03796389168,8736,2201,6535,5492.03796389168,25.19459706959707
1,81,5511.437345635437,9866,2627,7239,5411.437345635437,26.626799108047837
65,17,5334.790470660318,6247,1324,4923,5234.790470660318,21.194173203137506
16,17,5318.908529408093,5535,1110,4425,5218.908529408093,20.05420054200542
64,17,5235.752705974546,6260,1318,4942,5135.752705974546,21.054313099041533
12,16,5197.280187489285,8034,1725,6309,5097.280187489285,21.47124719940254
8,82,5172.941939067881,8765,2215,6550,5072.941939067881,25.27096406160867
52,77,5130.975324648167,2928,494,2434,5030.975324648167,16.87158469945355
1,56,5117.743535720198,10124,2688,7436,5017.743535720198,26.55077044646385
12,19,5039.806473681889,8101,1796,6305,4939.806473681889,22.170102456486855
66,17,5027.711000033494,6218,1305,4913,4927.711000033494,20.987455773560633
12,17,5007.21711765592,8030,1745,6285,4907.21711765592,21.73100871731009
14,12,4942.724666655238,7816,1619,6197,4842.724666655238,20.713920163766634
12,14,4934.443285717805,7754,1623,6131,4834.443285717805,20.931132318803197
67,25,4915.616000070631,4703,907,3796,4815.616000070631,19.28556240697427
67,17,4915.583117684159,6207,1302,4905,4815.583117684159,20.97631706138231
14,13,4887.711692307732,6997,1453,5544,4787.711692307732,20.76604258968129
17,17,4865.007000000198,4995,990,4005,4765.007000000198,19.81981981981982
52,84,4863.213797625476,2979,537,2442,4763.213797625476,18.026183282980863
19,17,4834.159764762856,5555,1086,4469,4734.159764762856,19.54995499549955
51,77,4822.629181791017,2978,493,2485,4722.629181791017,16.554734721289456
52,86,4805.572988380724,2947,520,2427,4705.572988380724,17.64506277570411
17,19,4795.11368419157,5570,1096,4474,4695.11368419157,19.676840215439857
17,25,4790.841559988096,6230,1266,4964,4690.841559988096,20.32102728731942
15,12,4789.945333360624,8042,1671,6371,4689.945333360624,20.778413330017408
17,26,4749.110192308136,6225,1263,4962,4649.110192308136,20.289156626506024
52,17,4718.683411830066,6267,1295,4972,4618.683411830066,20.66379447901707
62,17,4698.767470695529,6281,1307,4974,4598.767470695529,20.808788409488933
16,16,4689.71700000021,5277,1055,4222,4589.71700000021,19.99241993556945
12,13,4685.762153826864,7450,1532,5918,4585.762153826864,20.563758389261743
15,13,4679.886846181271,7322,1504,5818,4579.886846181271,20.540835837202952
53,77,4675.824727241643,2900,483,2417,4575.824727241643,16.655172413793103
17,27,4666.608925919915,6217,1253,4964,4566.608925919915,20.15441531285186
51,86,4646.526604663083,2983,516,2467,4546.526604663083,17.298022125377138
7,83,4645.116650618616,9717,2523,7194,4545.116650618616,25.964803951836984
50,26,4618.982730834748,4390,785,3605,4518.982730834748,17.88154897494305
63,17,4599.953000092772,6270,1305,4965,4499.953000092772,20.813397129186605
