Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,1,83,5940.808421660341,1279,370,909,0.0,5840.808421660341,28.928850664581706,SURVIVED (PROFIT)
2,1,82,5797.167999993911,1288,374,914,0.0,5697.167999993911,29.037267080745345,SURVIVED (PROFIT)
3,1,81,5749.443641964932,1285,372,913,0.0,5649.443641964932,28.949416342412455,SURVIVED (PROFIT)
4,1,79,5429.779506337933,1282,371,911,0.0,5329.779506337933,28.939157566302654,SURVIVED (PROFIT)
5,1,80,5388.4560249993665,1278,371,907,0.0,5288.4560249993665,29.029733959311425,SURVIVED (PROFIT)
6,12,13,5068.697461566134,896,218,678,0.0,4968.697461566134,24.330357142857142,SURVIVED (PROFIT)
7,1,84,4757.317309496062,1285,373,912,0.0,4657.317309496062,29.027237354085607,SURVIVED (PROFIT)
8,1,78,4554.468807708979,1277,368,909,0.0,4454.468807708979,28.817541111981203,SURVIVED (PROFIT)
9,67,17,3756.896235308698,778,186,592,0.0,3656.896235308698,23.90745501285347,SURVIVED (PROFIT)
10,64,17,3724.8005294687146,786,191,595,0.0,3624.8005294687146,24.30025445292621,SURVIVED (PROFIT)
11,63,17,3669.400882418839,787,190,597,0.0,3569.400882418839,24.1423125794155,SURVIVED (PROFIT)
12,62,17,3617.398470668594,795,189,606,0.0,3517.398470668594,23.77358490566038,SURVIVED (PROFIT)
13,65,17,3553.6456471077768,787,191,596,0.0,3453.6456471077768,24.269377382465056,SURVIVED (PROFIT)
14,68,17,3547.7439999942453,776,179,597,0.0,3447.7439999942453,23.067010309278352,SURVIVED (PROFIT)
15,61,17,3535.41929419798,803,189,614,0.0,3435.41929419798,23.536737235367372,SURVIVED (PROFIT)
16,52,77,3513.041103893028,349,68,281,0.0,3413.041103893028,19.484240687679083,SURVIVED (PROFIT)
17,69,17,3484.927705889052,782,179,603,0.0,3384.927705889052,22.89002557544757,SURVIVED (PROFIT)
18,70,17,3423.4925882604007,792,180,612,0.0,3323.4925882604007,22.727272727272727,SURVIVED (PROFIT)
19,51,17,3410.1348824134834,767,174,593,0.0,3310.1348824134834,22.685788787483702,SURVIVED (PROFIT)
20,53,17,3388.6692941735387,760,176,584,0.0,3288.6692941735387,23.157894736842106,SURVIVED (PROFIT)
