time,open,high,low,close,tick_volume,spread
2026-01-01 23:05:00,4328.34,4333.618,4327.673,4333.435,571,0
2026-01-01 23:10:00,4333.406,4335.378,4329.222,4330.888,750,0
2026-01-01 23:15:00,4330.922,4334.391,4328.315,4334.391,639,0
2026-01-01 23:20:00,4334.351,4340.741,4332.896,4339.852,799,0
2026-01-01 23:25:00,4339.89,4342.657,4338.114,4341.252,1110,0
2026-01-01 23:30:00,4341.299,4341.819,4339.944,4340.597,356,0
2026-01-01 23:35:00,4340.575,4343.933,4339.903,4340.409,550,0
2026-01-01 23:40:00,4340.511,4345.465,4338.874,4345.39,641,0
2026-01-01 23:45:00,4345.419,4345.892,4342.25,4343.091,792,0
2026-01-01 23:50:00,4343.077,4347.463,4341.807,4347.463,1001,0
2026-01-01 23:55:00,4347.362,4351.526,4346.675,4348.349,932,0
2026-01-02 00:00:00,4348.358,4349.21,4345.252,4346.531,858,0
2026-01-02 00:05:00,4346.56,4350.45,4344.432,4350.036,851,0
2026-01-02 00:10:00,4350.009,4353.298,4347.393,4348.007,1204,0
2026-01-02 00:15:00,4348.007,4349.365,4344.578,4344.661,758,0
2026-01-02 00:20:00,4344.649,4347.451,4342.599,4343.554,1125,0
2026-01-02 00:25:00,4343.509,4347.657,4341.279,4347.187,943,0
2026-01-02 00:30:00,4347.194,4349.327,4346.859,4348.432,852,0
2026-01-02 00:35:00,4348.449,4350.865,4347.597,4348.683,861,0
2026-01-02 00:40:00,4348.786,4350.78,4346.627,4349.59,1052,0
2026-01-02 00:45:00,4349.63,4353.501,4349.63,4351.872,1172,0
2026-01-02 00:50:00,4351.855,4353.234,4350.726,4352.34,809,0
2026-01-02 00:55:00,4352.347,4356.179,4351.082,4354.191,910,0
2026-01-02 01:00:00,4354.197,4356.159,4347.261,4347.943,1620,0
2026-01-02 01:05:00,4348.003,4350.256,4345.148,4346.243,1345,0
2026-01-02 01:10:00,4346.255,4350.971,4345.849,4346.6,1164,0
2026-01-02 01:15:00,4346.632,4349.697,4345.078,4349.11,1110,0
2026-01-02 01:20:00,4349.14,4349.889,4346.263,4346.389,1178,0
2026-01-02 01:25:00,4346.355,4349.676,4344.606,4349.18,1224,0
2026-01-02 01:30:00,4349.144,4351.406,4348.87,4349.814,1169,0
2026-01-02 01:35:00,4349.766,4351.555,4348.154,4349.045,911,0
2026-01-02 01:40:00,4349.058,4349.83,4345.666,4346.774,1058,0
2026-01-02 01:45:00,4346.726,4352.294,4346.015,4352.228,989,0
2026-01-02 01:50:00,4352.172,4354.472,4350.338,4350.338,1329,0
2026-01-02 01:55:00,4350.307,4350.795,4347.667,4348.03,808,0
2026-01-02 02:00:00,4348.002,4351.993,4347.666,4349.939,827,0
2026-01-02 02:05:00,4349.973,4350.103,4346.77,4347.863,857,0
2026-01-02 02:10:00,4347.827,4347.827,4345.587,4346.988,776,0
2026-01-02 02:15:00,4347.003,4347.924,4345.133,4347.569,886,0
2026-01-02 02:20:00,4347.523,4347.711,4344.852,4346.656,843,0
2026-01-02 02:25:00,4346.685,4348.387,4344.98,4347.73,1436,0
2026-01-02 02:30:00,4347.736,4350.582,4345.685,4346.857,1361,0
