time,open,high,low,close,tick_volume,spread
2026-01-01 23:00:00,4328.34,4351.526,4327.673,4348.349,8141,0
2026-01-02 00:00:00,4348.358,4356.179,4341.279,4354.191,11395,0
2026-01-02 01:00:00,4354.197,4356.159,4344.606,4348.03,13905,0
2026-01-02 02:00:00,4348.002,4363.219,4344.852,4362.798,12290,0
2026-01-02 03:00:00,4362.824,4375.846,4362.077,4375.173,11811,0
2026-01-02 04:00:00,4375.13,4378.641,4371.368,4373.267,10504,0
2026-01-02 05:00:00,4373.325,4381.78,4370.946,4380.664,9561,0
2026-01-02 06:00:00,4380.71,4381.019,4373.382,4374.782,9754,0
2026-01-02 07:00:00,4374.758,4383.326,4371.949,4382.8,10964,0
2026-01-02 08:00:00,4382.763,4397.619,4380.488,4387.12,11082,0
2026-01-02 09:00:00,4387.083,4391.7,4383.385,4385.609,10353,0
2026-01-02 10:00:00,4385.635,4398.588,4384.555,4396.07,10207,0
2026-01-02 11:00:00,4396.188,4399.384,4390.794,4392.898,8545,0
2026-01-02 12:00:00,4392.891,4398.33,4385.177,4394.339,11645,0
2026-01-02 13:00:00,4394.389,4402.465,4361.783,4366.023,30240,0
2026-01-02 14:00:00,4366.066,4373.708,4348.143,4353.462,40090,0
2026-01-02 15:00:00,4353.476,4357.006,4330.24,4335.47,47192,0
2026-01-02 16:00:00,4335.417,4337.401,4314.837,4326.428,42128,0
2026-01-02 17:00:00,4326.382,4333.531,4322.76,4323.089,22205,0
2026-01-02 18:00:00,4323.015,4323.733,4309.68,4315.06,22264,0
2026-01-02 19:00:00,4315.106,4326.31,4315.106,4318.185,15775,0
2026-01-02 20:00:00,4318.228,4331.586,4317.152,4331.422,13940,0
2026-01-02 21:00:00,4331.457,4333.96,4327.07,4331.759,6478,0
2026-01-04 23:00:00,4353.486,4375.927,4349.834,4372.57,15661,0
2026-01-05 00:00:00,4372.597,4396.832,4370.227,4395.055,21190,0
2026-01-05 01:00:00,4395.081,4421.14,4391.224,4401.876,53050,0
2026-01-05 02:00:00,4401.913,4409.611,4388.651,4405.335,25530,0
2026-01-05 03:00:00,4405.379,4414.105,4399.69,4399.941,15774,0
2026-01-05 04:00:00,4399.909,4408.423,4397.428,4404.147,9511,0
2026-01-05 05:00:00,4404.194,4414.553,4401.27,4412.369,14137,0
2026-01-05 06:00:00,4412.307,4426.559,4411.208,4420.161,20097,0
2026-01-05 07:00:00,4420.279,4425.096,4416.786,4421.826,13634,0
2026-01-05 08:00:00,4421.868,4433.981,4419.336,4430.181,13958,0
2026-01-05 09:00:00,4430.172,4438.245,4425.973,4434.819,12527,0
2026-01-05 10:00:00,4434.84,4440.011,4430.809,4436.25,10989,0
2026-01-05 11:00:00,4436.286,4437.501,4411.073,4419.349,18626,0
2026-01-05 12:00:00,4419.316,4421.533,4405.439,4409.669,16746,0
2026-01-05 13:00:00,4409.728,4418.988,4395.895,4416.777,31829,0
2026-01-05 14:00:00,4416.756,4442.879,4416.756,4436.879,38722,0
2026-01-05 15:00:00,4436.956,4455.697,4435.453,4448.524,34762,0
2026-01-05 16:00:00,4448.487,4454.471,4438.476,4441.949,19400,0
2026-01-05 17:00:00,4441.992,4449.015,4432.261,4443.566,22046,0
2026-01-05 18:00:00,4443.511,4448.613,4439.808,4448.613,13599,0
2026-01-05 19:00:00,4448.64,4449.504,4434.7,4439.845,15207,0
2026-01-05 20:00:00,4439.805,4447.1,4437.896,4445.041,14027,0
2026-01-05 21:00:00,4445.092,4449.325,4443.406,4448.989,6596,0
2026-01-05 23:00:00,4454.841,4460.29,4436.869,4440.334,8899,0
2026-01-06 00:00:00,4440.426,4444.902,4430.348,4436.385,13716,0
2026-01-06 01:00:00,4436.336,4452.327,4427.675,4450.418,27334,0
2026-01-06 02:00:00,4450.515,4461.378,4448.68,4454.98,20467,0
2026-01-06 03:00:00,4455.006,4468.212,4454.095,4467.805,13275,0
2026-01-06 04:00:00,4467.682,4468.596,4461.708,4467.361,8597,0
2026-01-06 05:00:00,4467.251,4474.275,4449.432,4452.551,18027,0
2026-01-06 06:00:00,4452.575,4466.948,4451.601,4465.667,17753,0
2026-01-06 07:00:00,4465.603,4470.422,4457.239,4459.479,12766,0
2026-01-06 08:00:00,4459.501,4476.002,4457.442,4468.331,15659,0
