MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
5,95,6779.367536821688,6504,1908,4596,6679.367536821688,29.335793357933582
5,94,6775.393414874575,6502,1904,4598,6675.393414874575,29.283297446939404
2,28,6715.76885710933,10308,2879,7429,6615.76885710933,27.92976329064804
1,16,6669.684187371729,6788,1701,5087,6569.684187371729,25.058927519151442
1,15,6596.665133189488,6875,1728,5147,6496.665133189488,25.134545454545453
5,100,6544.864789975657,6454,1889,4565,6444.864789975657,29.268670591881
4,28,6492.2921785522,8785,2474,6311,6392.2921785522,28.161639157655095
5,99,6436.708010075215,6458,1888,4570,6336.708010075215,29.235057293279652
4,61,6351.600885234662,8170,2398,5772,6251.600885234662,29.351285189718485
3,28,6302.192107111677,9807,2783,7024,6202.192107111677,28.377689405526663
3,61,6292.894934414717,9225,2704,6521,6192.894934414717,29.31165311653117
1,67,6268.6546417802265,5133,1431,3702,6168.6546417802265,27.878433664523673
5,98,6225.401857116068,6470,1888,4582,6125.401857116068,29.18083462132921
5,96,6198.911770811926,6503,1882,4621,6098.911770811926,28.940489005074582
1,88,6176.889636334377,4907,1370,3537,6076.889636334377,27.91929896066843
5,93,6167.866903205072,6516,1901,4615,6067.866903205072,29.174340085942298
16,1,6156.476000000252,6529,1416,5113,6056.476000000252,21.687854189002913
4,63,6146.294111097152,8150,2415,5735,6046.294111097152,29.631901840490798
3,82,6136.068109751339,8896,2637,6259,6036.068109751339,29.642535971223023
4,59,6133.901288125269,8189,2395,5794,6033.901288125269,29.24655025033582
1,17,6119.8547645351255,6601,1666,4935,6019.8547645351255,25.23860021208908
2,61,6097.7366721284825,9730,2789,6941,5997.7366721284825,28.6639260020555
4,62,6058.424709654801,8178,2410,5768,5958.424709654801,29.46930789924187
1,14,6021.579785603987,7007,1722,5285,5921.579785603987,24.575424575424577
15,1,6015.054000000248,6581,1428,5153,5915.054000000248,21.698829965050905
45,6,5990.936833348774,7014,1693,5321,5890.936833348774,24.137439406900484
33,2,5987.490000000448,10827,2661,8166,5887.490000000448,24.577445275699638
31,2,5987.490000000448,10827,2661,8166,5887.490000000448,24.577445275699638
32,2,5987.490000000448,10827,2661,8166,5887.490000000448,24.577445275699638
30,2,5987.362000000449,10827,2661,8166,5887.362000000449,24.577445275699638
29,2,5987.362000000449,10827,2661,8166,5887.362000000449,24.577445275699638
3,2,5985.529000000449,10835,2661,8174,5885.529000000449,24.559298569450856
15,2,5980.963000000448,10830,2661,8169,5880.963000000448,24.570637119113574
14,2,5980.4430000004495,10830,2661,8169,5880.4430000004495,24.570637119113574
11,2,5977.07900000045,10832,2661,8171,5877.07900000045,24.56610044313146
3,59,5976.773796593376,9233,2709,6524,5876.773796593376,29.34040940106141
64,2,5976.714000000448,10831,2660,8171,5876.714000000448,24.559135813867602
4,58,5976.67060343982,8220,2397,5823,5876.67060343982,29.16058394160584
27,2,5975.564000000449,10826,2662,8164,5875.564000000449,24.588952521707004
13,2,5973.991000000448,10830,2661,8169,5873.991000000448,24.570637119113574
12,2,5973.968000000449,10830,2661,8169,5873.968000000449,24.570637119113574
1,2,5973.914000000509,10838,2662,8176,5873.914000000509,24.561727255951283
28,2,5972.675000000448,10826,2661,8165,5872.675000000448,24.57971549972289
6,2,5969.833499999898,10834,2661,8173,5869.833499999898,24.561565442126636
5,2,5968.797499999898,10835,2661,8174,5868.797499999898,24.559298569450856
4,2,5968.132000000448,10837,2661,8176,5868.132000000448,24.554766079173206
65,2,5967.714000000448,10832,2660,8172,5867.714000000448,24.556868537666173
22,2,5967.489000000448,10829,2661,8168,5867.489000000448,24.57290608551113
34,2,5967.193000000448,10826,2660,8166,5867.193000000448,24.570478477738778
42,2,5966.8350000005075,10827,2660,8167,5866.8350000005075,24.568209106862472
43,2,5966.8350000005075,10827,2660,8167,5866.8350000005075,24.568209106862472
26,2,5966.498000000448,10828,2661,8167,5866.498000000448,24.57517547100111
38,2,5966.4510000005075,10826,2660,8166,5866.4510000005075,24.570478477738778
39,2,5966.4510000005075,10826,2660,8166,5866.4510000005075,24.570478477738778
41,2,5966.235000000509,10828,2660,8168,5866.235000000509,24.565940155153307
86,2,5966.1030000004475,10828,2660,8168,5866.1030000004475,24.565940155153307
87,2,5966.1030000004475,10828,2660,8168,5866.1030000004475,24.565940155153307
85,2,5966.1030000004475,10828,2660,8168,5866.1030000004475,24.565940155153307
40,2,5965.9240000005075,10828,2660,8168,5865.9240000005075,24.565940155153307
95,2,5965.862000000508,10828,2660,8168,5865.862000000508,24.565940155153307
97,2,5965.862000000508,10828,2660,8168,5865.862000000508,24.565940155153307
96,2,5965.862000000508,10828,2660,8168,5865.862000000508,24.565940155153307
36,2,5965.365000000508,10827,2660,8167,5865.365000000508,24.568209106862472
37,2,5965.365000000508,10827,2660,8167,5865.365000000508,24.568209106862472
24,2,5965.0355000001955,10829,2661,8168,5865.0355000001955,24.57290608551113
35,2,5964.9470000004485,10827,2660,8167,5864.9470000004485,24.568209106862472
25,2,5964.887500000194,10829,2661,8168,5864.887500000194,24.57290608551113
18,2,5964.854000000448,10832,2661,8171,5864.854000000448,24.56610044313146
44,2,5964.793000000508,10828,2660,8168,5864.793000000508,24.565940155153307
45,2,5964.793000000508,10828,2660,8168,5864.793000000508,24.565940155153307
89,2,5964.116000000448,10829,2660,8169,5864.116000000448,24.56367162249515
91,2,5964.116000000448,10829,2660,8169,5864.116000000448,24.56367162249515
90,2,5964.116000000448,10829,2660,8169,5864.116000000448,24.56367162249515
