Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,25,45,5483.565199928375,1651,329,1322,0.0,5383.565199928375,19.92731677771048,SURVIVED (PROFIT)
2,17,67,4867.27579100624,1924,464,1460,0.0,4767.27579100624,24.116424116424117,SURVIVED (PROFIT)
3,26,45,4802.227777647098,1672,318,1354,0.0,4702.227777647098,19.019138755980862,SURVIVED (PROFIT)
4,17,68,4780.331764682041,1874,453,1421,0.0,4680.331764682041,24.17289220917823,SURVIVED (PROFIT)
5,25,42,4589.616047590097,1664,323,1341,0.0,4489.616047590097,19.411057692307693,SURVIVED (PROFIT)
6,100,67,4497.759701537119,880,144,736,0.0,4397.759701537119,16.363636363636363,SURVIVED (PROFIT)
7,17,70,4494.389814288632,1936,457,1479,0.0,4394.389814288632,23.605371900826448,SURVIVED (PROFIT)
8,99,67,4483.522761235949,863,139,724,0.0,4383.522761235949,16.10660486674392,SURVIVED (PROFIT)
9,25,44,4460.708795407521,1670,327,1343,0.0,4360.708795407521,19.580838323353294,SURVIVED (PROFIT)
10,17,71,4426.697647875222,1913,449,1464,0.0,4326.697647875222,23.470987976999478,SURVIVED (PROFIT)
11,24,45,4379.536377779106,1698,341,1357,0.0,4279.536377779106,20.082449941107186,SURVIVED (PROFIT)
12,17,66,4260.516454512025,1957,455,1502,0.0,4160.516454512025,23.24987225344916,SURVIVED (PROFIT)
13,85,24,4239.470374836245,1891,352,1539,0.0,4139.470374836245,18.614489687995768,SURVIVED (PROFIT)
14,26,42,4207.937285583871,1662,310,1352,0.0,4107.937285583871,18.65222623345367,SURVIVED (PROFIT)
15,26,67,4179.505761133421,1535,316,1219,0.0,4079.5057611334214,20.58631921824104,SURVIVED (PROFIT)
16,100,68,4145.396911785905,856,138,718,0.0,4045.396911785905,16.121495327102803,SURVIVED (PROFIT)
17,9,70,4082.5507998424937,2881,768,2113,0.0,3982.5507998424937,26.657410621312046,SURVIVED (PROFIT)
18,20,45,4080.4180888182436,1954,433,1521,0.0,3980.4180888182436,22.159672466734904,SURVIVED (PROFIT)
19,37,71,4067.211577450412,1251,249,1002,0.0,3967.211577450412,19.904076738609113,SURVIVED (PROFIT)
20,99,68,4066.4376617778526,839,131,708,0.0,3966.4376617778526,15.613825983313468,SURVIVED (PROFIT)
