MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
19,17,4834.159764762856,5555,1086,4469,0.0,4734.159764762856,19.54995499549955,SURVIVED (PROFIT)
17,19,4795.11368419157,5570,1096,4474,0.0,4695.11368419157,19.676840215439857,SURVIVED (PROFIT)
17,27,4666.608925919915,6217,1253,4964,0.0,4566.608925919915,20.15441531285186,SURVIVED (PROFIT)
35,17,4508.868235340307,6357,1282,5075,0.0,4408.868235340307,20.166745320119553,SURVIVED (PROFIT)
34,17,4507.046117698551,6330,1270,5060,0.0,4407.046117698551,20.063191153238545,SURVIVED (PROFIT)
36,17,4437.84458828338,6331,1280,5051,0.0,4337.84458828338,20.217975043437058,SURVIVED (PROFIT)
18,19,4180.127684195263,5067,972,4095,0.0,4080.127684195263,19.182948490230906,SURVIVED (PROFIT)
67,19,4167.001789530958,5757,1163,4594,0.0,4067.0017895309584,20.201493833593887,SURVIVED (PROFIT)
38,17,4128.567764720624,6347,1275,5072,0.0,4028.567764720624,20.088230660154405,SURVIVED (PROFIT)
37,17,4110.821705891975,6343,1280,5063,0.0,4010.8217058919754,20.179725681854013,SURVIVED (PROFIT)
65,21,4081.159476257062,5322,1041,4281,0.0,3981.159476257062,19.560315670800453,SURVIVED (PROFIT)
32,17,3969.234294165053,6334,1246,5088,0.0,3869.234294165053,19.67161351436691,SURVIVED (PROFIT)
65,19,3947.3123158780227,5765,1173,4592,0.0,3847.3123158780227,20.346921075455334,SURVIVED (PROFIT)
67,21,3927.568333363857,5321,1019,4302,0.0,3827.568333363857,19.150535613606465,SURVIVED (PROFIT)
33,17,3858.3307059266826,6336,1258,5078,0.0,3758.3307059266826,19.85479797979798,SURVIVED (PROFIT)
64,19,3814.0634737631053,5775,1158,4617,0.0,3714.0634737631053,20.051948051948052,SURVIVED (PROFIT)
66,19,3783.5214737385995,5759,1157,4602,0.0,3683.5214737385995,20.090293453724605,SURVIVED (PROFIT)
52,13,3735.416384674936,7874,1660,6214,0.0,3635.416384674936,21.082042164084328,SURVIVED (PROFIT)
64,21,3706.041619109477,5335,1026,4309,0.0,3606.041619109477,19.231490159325208,SURVIVED (PROFIT)
52,23,3691.766695686404,4962,938,4024,0.0,3591.766695686404,18.90366787585651,SURVIVED (PROFIT)
66,21,3690.1049524206073,5314,1018,4296,0.0,3590.1049524206073,19.15694392171622,SURVIVED (PROFIT)
65,20,3669.7167500792407,5551,1122,4429,0.0,3569.7167500792407,20.212574310934965,SURVIVED (PROFIT)
46,24,3668.1591250520064,4765,895,3870,0.0,3568.1591250520064,18.782791185729273,SURVIVED (PROFIT)
67,20,3657.1083000442077,5547,1102,4445,0.0,3557.1083000442077,19.86659455561565,SURVIVED (PROFIT)
21,17,3615.573705964524,5935,1146,4789,0.0,3515.573705964524,19.309182813816346,SURVIVED (PROFIT)
53,13,3597.087307734352,7883,1675,6208,0.0,3497.087307734352,21.24825574020043,SURVIVED (PROFIT)
67,23,3585.5686956548047,5008,955,4053,0.0,3485.5686956548047,19.069488817891376,SURVIVED (PROFIT)
51,21,3535.935476250025,5346,992,4354,0.0,3435.935476250025,18.555929667040775,SURVIVED (PROFIT)
