MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,16,6669.684187371729,6788,1701,5087,0.0,6569.684187371729,25.058927519151442,SURVIVED (PROFIT)
31,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
33,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
32,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
29,2,5987.362000000449,10827,2661,8166,0.0,5887.362000000449,24.577445275699638,SURVIVED (PROFIT)
30,2,5987.362000000449,10827,2661,8166,0.0,5887.362000000449,24.577445275699638,SURVIVED (PROFIT)
3,2,5985.529000000449,10835,2661,8174,0.0,5885.529000000449,24.559298569450856,SURVIVED (PROFIT)
15,2,5980.963000000448,10830,2661,8169,0.0,5880.963000000448,24.570637119113574,SURVIVED (PROFIT)
14,2,5980.4430000004495,10830,2661,8169,0.0,5880.4430000004495,24.570637119113574,SURVIVED (PROFIT)
11,2,5977.07900000045,10832,2661,8171,0.0,5877.07900000045,24.56610044313146,SURVIVED (PROFIT)
64,2,5976.714000000448,10831,2660,8171,0.0,5876.714000000448,24.559135813867602,SURVIVED (PROFIT)
27,2,5975.564000000449,10826,2662,8164,0.0,5875.564000000449,24.588952521707004,SURVIVED (PROFIT)
13,2,5973.991000000448,10830,2661,8169,0.0,5873.991000000448,24.570637119113574,SURVIVED (PROFIT)
12,2,5973.968000000449,10830,2661,8169,0.0,5873.968000000449,24.570637119113574,SURVIVED (PROFIT)
1,2,5973.914000000509,10838,2662,8176,0.0,5873.914000000509,24.561727255951283,SURVIVED (PROFIT)
28,2,5972.675000000448,10826,2661,8165,0.0,5872.675000000448,24.57971549972289,SURVIVED (PROFIT)
6,2,5969.833499999898,10834,2661,8173,0.0,5869.833499999898,24.561565442126636,SURVIVED (PROFIT)
5,2,5968.797499999898,10835,2661,8174,0.0,5868.797499999898,24.559298569450856,SURVIVED (PROFIT)
4,2,5968.132000000448,10837,2661,8176,0.0,5868.132000000448,24.554766079173206,SURVIVED (PROFIT)
65,2,5967.714000000448,10832,2660,8172,0.0,5867.714000000448,24.556868537666173,SURVIVED (PROFIT)
22,2,5967.489000000448,10829,2661,8168,0.0,5867.489000000448,24.57290608551113,SURVIVED (PROFIT)
34,2,5967.193000000448,10826,2660,8166,0.0,5867.193000000448,24.570478477738778,SURVIVED (PROFIT)
42,2,5966.8350000005075,10827,2660,8167,0.0,5866.8350000005075,24.568209106862472,SURVIVED (PROFIT)
43,2,5966.8350000005075,10827,2660,8167,0.0,5866.8350000005075,24.568209106862472,SURVIVED (PROFIT)
26,2,5966.498000000448,10828,2661,8167,0.0,5866.498000000448,24.57517547100111,SURVIVED (PROFIT)
39,2,5966.4510000005075,10826,2660,8166,0.0,5866.4510000005075,24.570478477738778,SURVIVED (PROFIT)
38,2,5966.4510000005075,10826,2660,8166,0.0,5866.4510000005075,24.570478477738778,SURVIVED (PROFIT)
41,2,5966.235000000509,10828,2660,8168,0.0,5866.235000000509,24.565940155153307,SURVIVED (PROFIT)
87,2,5966.1030000004475,10828,2660,8168,0.0,5866.1030000004475,24.565940155153307,SURVIVED (PROFIT)
86,2,5966.1030000004475,10828,2660,8168,0.0,5866.1030000004475,24.565940155153307,SURVIVED (PROFIT)
85,2,5966.1030000004475,10828,2660,8168,0.0,5866.1030000004475,24.565940155153307,SURVIVED (PROFIT)
40,2,5965.9240000005075,10828,2660,8168,0.0,5865.9240000005075,24.565940155153307,SURVIVED (PROFIT)
97,2,5965.862000000508,10828,2660,8168,0.0,5865.862000000508,24.565940155153307,SURVIVED (PROFIT)
96,2,5965.862000000508,10828,2660,8168,0.0,5865.862000000508,24.565940155153307,SURVIVED (PROFIT)
95,2,5965.862000000508,10828,2660,8168,0.0,5865.862000000508,24.565940155153307,SURVIVED (PROFIT)
37,2,5965.365000000508,10827,2660,8167,0.0,5865.365000000508,24.568209106862472,SURVIVED (PROFIT)
36,2,5965.365000000508,10827,2660,8167,0.0,5865.365000000508,24.568209106862472,SURVIVED (PROFIT)
24,2,5965.0355000001955,10829,2661,8168,0.0,5865.0355000001955,24.57290608551113,SURVIVED (PROFIT)
35,2,5964.9470000004485,10827,2660,8167,0.0,5864.9470000004485,24.568209106862472,SURVIVED (PROFIT)
25,2,5964.887500000194,10829,2661,8168,0.0,5864.887500000194,24.57290608551113,SURVIVED (PROFIT)
18,2,5964.854000000448,10832,2661,8171,0.0,5864.854000000448,24.56610044313146,SURVIVED (PROFIT)
44,2,5964.793000000508,10828,2660,8168,0.0,5864.793000000508,24.565940155153307,SURVIVED (PROFIT)
45,2,5964.793000000508,10828,2660,8168,0.0,5864.793000000508,24.565940155153307,SURVIVED (PROFIT)
90,2,5964.116000000448,10829,2660,8169,0.0,5864.116000000448,24.56367162249515,SURVIVED (PROFIT)
89,2,5964.116000000448,10829,2660,8169,0.0,5864.116000000448,24.56367162249515,SURVIVED (PROFIT)
91,2,5964.116000000448,10829,2660,8169,0.0,5864.116000000448,24.56367162249515,SURVIVED (PROFIT)
7,2,5964.083500000487,10835,2661,8174,0.0,5864.083500000487,24.559298569450856,SURVIVED (PROFIT)
9,2,5964.046000000449,10832,2661,8171,0.0,5864.046000000449,24.56610044313146,SURVIVED (PROFIT)
20,2,5963.811000001014,10830,2661,8169,0.0,5863.811000001014,24.570637119113574,SURVIVED (PROFIT)
